TOA,CF,PW,PA,IMP,category
0.0001047741,9603.67,8.93,-13.04,61.41, 1
0.0001447724,9604.34,8.73,-14.82,62.95, 1
0.0001876979,9603.85,8.60,-16.97,61.62, 1
0.0002275514,9605.03,8.91,-16.80,62.57, 1
0.0002346049,9601.59,9.69,-60.40,36.89, 3
0.0002695874,9604.90,9.02,-14.63,61.17, 1
0.0003048676,9605.41,9.46,-20.04,37.24, 3
0.0003158401,9613.48,8.81,-15.26,62.14, 1
0.0003593905,9616.21,9.14,-14.61,63.41, 1
0.0003758870,9603.37,9.37,-21.25,38.26, 3
0.0004054865,9616.96,9.15,-17.45,62.44, 1
0.0004158921,2810.56,35.54,-28.29,53.97, 12
0.0004491175,9601.30,9.27,-26.09,37.02, 3
0.0004508174,9612.95,9.29,-17.69,61.90, 1
0.0004948622,9613.69,9.20,-15.08,61.93, 1
0.0005088143,9601.26,9.70,-23.85,37.17, 3
0.0005404159,9617.18,9.22,-14.10,61.29, 1
0.0005796216,9602.48,9.40,-26.36,39.00, 3
0.0005860121,9614.29,8.92,-18.06,62.64, 1
0.0006300984,9616.32,8.79,-13.45,61.89, 1
0.0006387524,9604.37,9.36,-30.15,37.81, 3
0.0006759293,9612.89,9.18,-14.15,62.98, 1
0.0007106734,9604.08,9.01,-19.92,37.37, 3
0.0007241300,9604.02,9.04,-14.07,62.80, 1
0.0007711296,9604.72,9.36,-31.19,37.10, 3
0.0007755809,9606.43,9.37,-17.10,62.89, 1
0.0008235855,9611.95,9.03,-22.02,38.96, 4
0.0008266233,9606.99,8.62,-14.35,61.47, 1
0.0008424736,9602.76,9.35,-30.35,39.24, 3
0.0008490230,2809.06,35.27,-24.95,52.58, 12
0.0008643826,9612.12,9.18,-18.87,41.97, 4
0.0008764026,9606.23,8.61,-14.02,62.80, 1
0.0009028785,9601.63,9.48,-22.66,38.63, 3
0.0009077710,9613.79,9.36,-26.38,40.74, 4
0.0009276793,9605.94,8.68,-13.24,62.55, 1
0.0009490055,9612.29,8.78,-17.30,40.01, 4
0.0009739787,9601.56,9.34,-36.98,37.44, 3